Location,Period,Tooltip
Afghanistan,2019,189
Afghanistan,2000,190
Albania,2019,16
Albania,2000,22
Algeria,2019,61
Algeria,2000,75
Andorra,2019,7.5
Andorra,2000,21
Angola,2019,351
Angola,2000,297
Antigua and Barbuda,2019,0
Antigua and Barbuda,2000,6.1
Argentina,2019,29
Argentina,2000,37
Armenia,2019,26
Armenia,2000,54
Australia,2019,6.9
Australia,2000,6.3
Austria,2019,6.2
Austria,2000,17
Azerbaijan,2019,60
Azerbaijan,2000,80
Bahamas,2019,15
Bahamas,2000,32
Bahrain,2019,12
Bahrain,2000,36
Bangladesh,2019,221
Bangladesh,2000,221
Barbados,2019,0
Barbados,2000,1.3
Belarus,2019,29
Belarus,2000,86
Belgium,2019,8.9
Belgium,2000,14
Belize,2019,27
Belize,2000,49
Benin,2019,55
Benin,2000,86
Bhutan,2019,165
Bhutan,2000,241
Bolivia (Plurinational State of),2019,106
Bolivia (Plurinational State of),2000,184
Bosnia and Herzegovina,2019,27
Bosnia and Herzegovina,2000,83
Botswana,2019,253
Botswana,2000,914
Brazil,2019,46
Brazil,2000,51
Brunei Darussalam,2019,64
Brunei Darussalam,2000,106
Bulgaria,2019,21
Bulgaria,2000,52
Burkina Faso,2019,47
Burkina Faso,2000,70
Burundi,2019,107
Burundi,2000,290
Cabo Verde,2019,46
Cabo Verde,2000,82
Cambodia,2019,287
Cambodia,2000,579
Cameroon,2019,179
Cameroon,2000,309
Canada,2019,5.5
Canada,2000,6.5
Central African Republic,2019,540
Central African Republic,2000,540
Chad,2019,142
Chad,2000,151
Chile,2019,18
Chile,2000,23
China,2019,58
China,2000,107
Colombia,2019,35
Colombia,2000,37
Comoros,2019,35
Comoros,2000,39
Congo,2019,373
Congo,2000,356
Cook Islands,2019,13
Cook Islands,2000,6.4
Costa Rica,2019,10
Costa Rica,2000,18
Côte d’Ivoire,2019,137
Côte d’Ivoire,2000,367
Croatia,2019,8
Croatia,2000,42
Cuba,2019,6.5
Cuba,2000,12
Cyprus,2019,5.3
Cyprus,2000,4
Czechia,2019,4.9
Czechia,2000,16
Democratic People's Republic of Korea,2019,513
Democratic People's Republic of Korea,2000,513
Democratic Republic of the Congo,2019,320
Democratic Republic of the Congo,2000,327
Denmark,2019,5
Denmark,2000,13
Djibouti,2019,234
Djibouti,2000,692
Dominica,2019,16
Dominica,2000,4.5
Dominican Republic,2019,42
Dominican Republic,2000,78
Ecuador,2019,46
Ecuador,2000,68
Egypt,2019,12
Egypt,2000,26
El Salvador,2019,58
El Salvador,2000,32
Equatorial Guinea,2019,181
Equatorial Guinea,2000,96
Eritrea,2019,86
Eritrea,2000,177
Estonia,2019,13
Estonia,2000,65
Eswatini,2019,363
Eswatini,2000,981
Ethiopia,2019,140
Ethiopia,2000,421
Fiji,2019,66
Fiji,2000,22
Finland,2019,4.7
Finland,2000,12
France,2019,8.7
France,2000,13
Gabon,2019,521
Gabon,2000,515
Gambia,2019,158
Gambia,2000,187
Georgia,2019,74
Georgia,2000,254
Germany,2019,5.8
Germany,2000,12
Ghana,2019,144
Ghana,2000,216
Greece,2019,4.3
Greece,2000,7.3
Grenada,2019,3.1
Grenada,2000,0
Guatemala,2019,26
Guatemala,2000,31
Guinea,2019,176
Guinea,2000,228
Guinea-Bissau,2019,361
Guinea-Bissau,2000,305
Guyana,2019,79
Guyana,2000,71
Haiti,2019,170
Haiti,2000,270
Honduras,2019,31
Honduras,2000,122
Hungary,2019,6.3
Hungary,2000,35
Iceland,2019,4.4
Iceland,2000,5.3
India,2019,193
India,2000,289
Indonesia,2019,312
Indonesia,2000,370
Iran (Islamic Republic of),2019,13
Iran (Islamic Republic of),2000,23
Iraq,2019,41
Iraq,2000,50
Ireland,2019,5.8
Ireland,2000,12
Israel,2019,2.9
Israel,2000,10
Italy,2019,7.1
Italy,2000,7.1
Jamaica,2019,3.2
Jamaica,2000,6
Japan,2019,13
Japan,2000,36
Jordan,2019,5.5
Jordan,2000,7.5
Kazakhstan,2019,68
Kazakhstan,2000,171
Kenya,2019,267
Kenya,2000,451
Kiribati,2019,436
Kiribati,2000,373
Kuwait,2019,22
Kuwait,2000,29
Kyrgyzstan,2019,110
Kyrgyzstan,2000,145
Lao People's Democratic Republic,2019,155
Lao People's Democratic Republic,2000,330
Latvia,2019,26
Latvia,2000,96
Lebanon,2019,13
Lebanon,2000,17
Lesotho,2019,654
Lesotho,2000,827
Liberia,2019,308
Liberia,2000,240
Libya,2019,59
Libya,2000,40
Lithuania,2019,42
Lithuania,2000,87
Luxembourg,2019,9
Luxembourg,2000,12
Madagascar,2019,233
Madagascar,2000,293
Malawi,2019,146
Malawi,2000,386
Malaysia,2019,92
Malaysia,2000,75
Maldives,2019,36
Maldives,2000,59
Mali,2019,52
Mali,2000,77
Malta,2019,14
Malta,2000,4.7
Marshall Islands,2019,483
Marshall Islands,2000,84
Mauritania,2019,89
Mauritania,2000,250
Mauritius,2019,12
Mauritius,2000,17
Mexico,2019,23
Mexico,2000,23
Micronesia (Federated States of),2019,100
Micronesia (Federated States of),2000,106
Monaco,2019,0
Monaco,2000,0
Mongolia,2019,428
Mongolia,2000,428
Montenegro,2019,15
Morocco,2019,97
Morocco,2000,115
Mozambique,2019,361
Mozambique,2000,336
Myanmar,2019,322
Myanmar,2000,555
Namibia,2019,486
Namibia,2000,985
Nauru,2019,182
Nauru,2000,45
Nepal,2019,238
Nepal,2000,417
Netherlands,2019,5
Netherlands,2000,9
New Zealand,2019,7.5
New Zealand,2000,10
Nicaragua,2019,43
Nicaragua,2000,59
Niger,2019,84
Niger,2000,191
Nigeria,2019,219
Nigeria,2000,219
Niue,2019,0
Niue,2000,0
Norway,2019,3.3
Norway,2000,5.6
Oman,2019,8.5
Oman,2000,16
Pakistan,2019,263
Pakistan,2000,275
Palau,2019,38
Palau,2000,64
Panama,2019,37
Panama,2000,48
Papua New Guinea,2019,432
Papua New Guinea,2000,432
Paraguay,2019,46
Paraguay,2000,42
Peru,2019,119
Peru,2000,183
Philippines,2019,554
Philippines,2000,590
Poland,2019,15
Poland,2000,33
Portugal,2019,19
Portugal,2000,47
Qatar,2019,35
Qatar,2000,54
Republic of Korea,2019,59
Republic of Korea,2000,49
Republic of Moldova,2019,80
Republic of Moldova,2000,80
The former Yugoslav Republic of Macedonia,2019,12
The former Yugoslav Republic of Macedonia,2000,39
Romania,2019,66
Romania,2000,143
Russian Federation,2019,50
Russian Federation,2000,95
Rwanda,2019,57
Rwanda,2000,96
Saint Kitts and Nevis,2019,1.5
Saint Kitts and Nevis,2000,0
Saint Lucia,2019,3.8
Saint Lucia,2000,6.6
Saint Vincent and the Grenadines,2019,4.2
Saint Vincent and the Grenadines,2000,17
Samoa,2019,11
Samoa,2000,28
San Marino,2019,0
San Marino,2000,4.2
Sao Tome and Principe,2019,114
Sao Tome and Principe,2000,119
Saudi Arabia,2019,9.9
Saudi Arabia,2000,19
Senegal,2019,117
Senegal,2000,155
Serbia,2019,14
Seychelles,2019,16
Seychelles,2000,28
Sierra Leone,2019,295
Sierra Leone,2000,305
Singapore,2019,41
Singapore,2000,49
Slovakia,2019,4.5
Slovakia,2000,22
Slovenia,2019,5.4
Slovenia,2000,21
Solomon Islands,2019,66
Solomon Islands,2000,91
Somalia,2019,258
Somalia,2000,285
South Africa,2019,615
South Africa,2000,762
South Sudan,2019,227
Spain,2019,9.3
Spain,2000,23
Sri Lanka,2019,64
Sri Lanka,2000,66
Sudan,2019,67
Sudan (until 2011),2000,148
Suriname,2019,29
Suriname,2000,24
Sweden,2019,5.5
Sweden,2000,5.4
Switzerland,2019,5.4
Switzerland,2000,9.3
Syrian Arab Republic,2019,19
Syrian Arab Republic,2000,39
Tajikistan,2019,83
Tajikistan,2000,219
Thailand,2019,150
Thailand,2000,241
Timor-Leste,2019,498
Togo,2019,37
Togo,2000,52
Tonga,2019,11
Tonga,2000,28
Trinidad and Tobago,2019,18
Trinidad and Tobago,2000,18
Tunisia,2019,35
Tunisia,2000,26
Turkey,2019,16
Turkey,2000,33
Turkmenistan,2019,45
Turkmenistan,2000,112
Tuvalu,2019,296
Tuvalu,2000,196
Uganda,2019,200
Uganda,2000,276
Ukraine,2019,77
Ukraine,2000,114
United Arab Emirates,2019,1
United Arab Emirates,2000,4.2
United Kingdom of Great Britain and Northern Ireland,2019,8
United Kingdom of Great Britain and Northern Ireland,2000,12
United Republic of Tanzania,2019,237
United Republic of Tanzania,2000,503
United States of America,2019,3
United States of America,2000,6.7
Uruguay,2019,35
Uruguay,2000,22
Uzbekistan,2019,67
Uzbekistan,2000,99
Vanuatu,2019,41
Vanuatu,2000,110
Venezuela (Bolivarian Republic of),2019,45
Venezuela (Bolivarian Republic of),2000,33
