Location,Period,Indicator,Gender,Tooltip
Afghanistan,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.04
Afghanistan,2019,New HIV infections (per 1000 uninfected population),Male,0.06
Afghanistan,2019,New HIV infections (per 1000 uninfected population),Female,0.03
Afghanistan,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.03
Afghanistan,2015,New HIV infections (per 1000 uninfected population),Male,0.05
Afghanistan,2015,New HIV infections (per 1000 uninfected population),Female,0.02
Afghanistan,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.03
Afghanistan,2010,New HIV infections (per 1000 uninfected population),Male,0.03
Afghanistan,2010,New HIV infections (per 1000 uninfected population),Female,0.02
Afghanistan,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.02
Afghanistan,2005,New HIV infections (per 1000 uninfected population),Male,0.03
Afghanistan,2005,New HIV infections (per 1000 uninfected population),Female,0.01
Afghanistan,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.01
Afghanistan,2000,New HIV infections (per 1000 uninfected population),Male,0.02
Afghanistan,2000,New HIV infections (per 1000 uninfected population),Female,<0.01 
Albania,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.03
Albania,2019,New HIV infections (per 1000 uninfected population),Male,0.05
Albania,2019,New HIV infections (per 1000 uninfected population),Female,0.01
Albania,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.04
Albania,2015,New HIV infections (per 1000 uninfected population),Male,0.06
Albania,2015,New HIV infections (per 1000 uninfected population),Female,0.02
Albania,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.04
Albania,2010,New HIV infections (per 1000 uninfected population),Male,0.06
Albania,2010,New HIV infections (per 1000 uninfected population),Female,0.02
Albania,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.03
Albania,2005,New HIV infections (per 1000 uninfected population),Male,0.04
Albania,2005,New HIV infections (per 1000 uninfected population),Female,0.01
Albania,2000,New HIV infections (per 1000 uninfected population),Both sexes,<0.01 
Albania,2000,New HIV infections (per 1000 uninfected population),Male,<0.01 
Albania,2000,New HIV infections (per 1000 uninfected population),Female,<0.01 
Algeria,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.05
Algeria,2019,New HIV infections (per 1000 uninfected population),Male,0.05
Algeria,2019,New HIV infections (per 1000 uninfected population),Female,0.05
Algeria,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.05
Algeria,2015,New HIV infections (per 1000 uninfected population),Male,0.05
Algeria,2015,New HIV infections (per 1000 uninfected population),Female,0.04
Algeria,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.03
Algeria,2010,New HIV infections (per 1000 uninfected population),Male,0.04
Algeria,2010,New HIV infections (per 1000 uninfected population),Female,0.03
Algeria,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.02
Algeria,2005,New HIV infections (per 1000 uninfected population),Male,0.02
Algeria,2005,New HIV infections (per 1000 uninfected population),Female,0.02
Algeria,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.01
Algeria,2000,New HIV infections (per 1000 uninfected population),Male,0.01
Algeria,2000,New HIV infections (per 1000 uninfected population),Female,<0.01 
Angola,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.84
Angola,2019,New HIV infections (per 1000 uninfected population),Male,0.57
Angola,2019,New HIV infections (per 1000 uninfected population),Female,1.11
Angola,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.95
Angola,2015,New HIV infections (per 1000 uninfected population),Male,0.66
Angola,2015,New HIV infections (per 1000 uninfected population),Female,1.24
Angola,2010,New HIV infections (per 1000 uninfected population),Both sexes,1.16
Angola,2010,New HIV infections (per 1000 uninfected population),Male,0.82
Angola,2010,New HIV infections (per 1000 uninfected population),Female,1.5
Angola,2005,New HIV infections (per 1000 uninfected population),Both sexes,1.18
Angola,2005,New HIV infections (per 1000 uninfected population),Male,0.83
Angola,2005,New HIV infections (per 1000 uninfected population),Female,1.53
Angola,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.93
Angola,2000,New HIV infections (per 1000 uninfected population),Male,0.65
Angola,2000,New HIV infections (per 1000 uninfected population),Female,1.21
Argentina,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.13
Argentina,2019,New HIV infections (per 1000 uninfected population),Male,0.19
Argentina,2019,New HIV infections (per 1000 uninfected population),Female,0.08
Argentina,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.14
Argentina,2015,New HIV infections (per 1000 uninfected population),Male,0.21
Argentina,2015,New HIV infections (per 1000 uninfected population),Female,0.08
Argentina,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.14
Argentina,2010,New HIV infections (per 1000 uninfected population),Male,0.21
Argentina,2010,New HIV infections (per 1000 uninfected population),Female,0.08
Argentina,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.16
Argentina,2005,New HIV infections (per 1000 uninfected population),Male,0.23
Argentina,2005,New HIV infections (per 1000 uninfected population),Female,0.09
Argentina,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.17
Argentina,2000,New HIV infections (per 1000 uninfected population),Male,0.25
Argentina,2000,New HIV infections (per 1000 uninfected population),Female,0.1
Armenia,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.05
Armenia,2019,New HIV infections (per 1000 uninfected population),Male,0.08
Armenia,2019,New HIV infections (per 1000 uninfected population),Female,0.03
Armenia,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.06
Armenia,2015,New HIV infections (per 1000 uninfected population),Male,0.09
Armenia,2015,New HIV infections (per 1000 uninfected population),Female,0.04
Armenia,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.08
Armenia,2010,New HIV infections (per 1000 uninfected population),Male,0.11
Armenia,2010,New HIV infections (per 1000 uninfected population),Female,0.05
Armenia,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.15
Armenia,2005,New HIV infections (per 1000 uninfected population),Male,0.22
Armenia,2005,New HIV infections (per 1000 uninfected population),Female,0.09
Armenia,2000,New HIV infections (per 1000 uninfected population),Both sexes,0.11
Armenia,2000,New HIV infections (per 1000 uninfected population),Male,0.16
Armenia,2000,New HIV infections (per 1000 uninfected population),Female,0.06
Australia,2019,New HIV infections (per 1000 uninfected population),Both sexes,0.03
Australia,2019,New HIV infections (per 1000 uninfected population),Male,0.06
Australia,2019,New HIV infections (per 1000 uninfected population),Female,<0.01 
Australia,2015,New HIV infections (per 1000 uninfected population),Both sexes,0.04
Australia,2015,New HIV infections (per 1000 uninfected population),Male,0.07
Australia,2015,New HIV infections (per 1000 uninfected population),Female,0.01
Australia,2010,New HIV infections (per 1000 uninfected population),Both sexes,0.05
Australia,2010,New HIV infections (per 1000 uninfected population),Male,0.08
Australia,2010,New HIV infections (per 1000 uninfected population),Female,0.01
Australia,2005,New HIV infections (per 1000 uninfected population),Both sexes,0.04
Australia,2005,New HIV infections (per 1000 uninfected population),Male,0.07
