Location,Tooltip
Afghanistan,14834701
Albania,47
Algeria,10909
Andorra,0
Angola,15220708
Antigua and Barbuda,1201
Argentina,162233
Armenia,39149
Australia,20123
Austria,41
Azerbaijan,1655112
Bahamas,10
Bahrain,1
Bangladesh,56339394
Barbados,67
Belarus,0
Belgium,1
Belize,2158
Benin,5685180
Bhutan,222639
Bolivia (Plurinational State of),194759
Bosnia and Herzegovina,0
Botswana,238203
Brazil,9489512
Brunei Darussalam,1
Bulgaria,1
Burkina Faso,10152760
Burundi,5484235
Cabo Verde,125137
Cambodia,4182394
Cameroon,16537416
Canada,0
Central African Republic,3300000
Chad,6233571
Chile,25
China,26378300
Colombia,3350646
Comoros,828148
Congo,1323442
Cook Islands,0
Costa Rica,4017
Côte d’Ivoire,21002613
Croatia,1
Cuba,2348
Cyprus,2
Czechia,3
Democratic People's Republic of Korea,5459159
Democratic Republic of the Congo,52756552
Denmark,0
Djibouti,110561
Dominica,562
Dominican Republic,2700201
Ecuador,5060
Egypt,5066393
El Salvador,1443743
Equatorial Guinea,429326
Eritrea,956062
Estonia,0
Eswatini,247084
Ethiopia,77653029
Fiji,917552
Finland,1
France,86
Gabon,937923
Gambia,171391
Georgia,412310
Germany,132
Ghana,16582444
Greece,51
Grenada,463
Guatemala,4957871
Guinea,7480197
Guinea-Bissau,1206042
Guyana,719312
Haiti,5771386
Honduras,2721691
Hungary,0
Iceland,0
India,697000000
Indonesia,101000000
Iran (Islamic Republic of),15581
Iraq,2170486
Ireland,0
Israel,276
Italy,147
Jamaica,988
Japan,5
Jordan,151
Kazakhstan,40
Kenya,11645569
Kiribati,121374
Kuwait,13
Kyrgyzstan,113625
Lao People's Democratic Republic,2031804
Latvia,6
Lebanon,0
Lesotho,382336
Liberia,3094538
Libya,3016
Lithuania,28
Luxembourg,0
Madagascar,20224527
Malawi,12423068
Malaysia,80797
Maldives,3411
Mali,7535901
Malta,6
Marshall Islands,19594
Mauritania,916692
Mauritius,1
Mexico,19900177
Micronesia (Federated States of),70736
Monaco,1
Mongolia,1810
Montenegro,0
Morocco,40
Mozambique,23023478
Myanmar,41778536
Namibia,1094020
Nauru,2844
Nepal,14520580
Netherlands,2
New Zealand,3
Nicaragua,1611101
Niger,14338992
Nigeria,131000000
Niue,0
Norway,5
Oman,1
Pakistan,31683212
Palau,1
Panama,50833
Papua New Guinea,6261977
Paraguay,1974836
Peru,346737
Philippines,47078380
Poland,36
Portugal,17
Qatar,0
Republic of Korea,6
Republic of Moldova,0
The former Yugoslav Republic of Macedonia,12
Romania,0
Russian Federation,3
Rwanda,4717934
Saint Kitts and Nevis,6
Saint Lucia,98
Saint Vincent and the Grenadines,4
Samoa,191219
San Marino,0
Sao Tome and Principe,201784
Saudi Arabia,940
Senegal,9061189
Serbia,0
Seychelles,0
Sierra Leone,6498480
Singapore,6
Slovakia,6
Slovenia,1
Solomon Islands,542215
Somalia,2286299
South Africa,18807465
South Sudan,7467149
Spain,7
Sri Lanka,55489
Sudan,11930091
Suriname,265
Sweden,11
Switzerland,0
Syrian Arab Republic,1767108
Tajikistan,3230054
Thailand,55073
Timor-Leste,1293316
Togo,4292784
Tonga,37131
Trinidad and Tobago,160
Tunisia,6650
Turkey,0
Turkmenistan,212
Tuvalu,12052
Uganda,21407858
Ukraine,0
United Arab Emirates,0
United Kingdom of Great Britain and Northern Ireland,7
United Republic of Tanzania,26707925
United States of America,516
Uruguay,7
Uzbekistan,405951
Vanuatu,284095
Venezuela (Bolivarian Republic of),7493106
Viet Nam,6147296
Yemen,12339767
Zambia,12032435
Zimbabwe,10660813
