Location,Period,Tooltip
Afghanistan,2018,29.01
Algeria,2018,0
Angola,2018,228.9
Argentina,2018,0
Armenia,2018,0
Azerbaijan,2018,0
Bangladesh,2018,0.69
Belize,2018,0.011
Benin,2018,386.2
Bhutan,2018,0.011
Bolivia (Plurinational State of),2018,1.41
Botswana,2018,0.59
Brazil,2018,5.12
Burkina Faso,2018,398.7
Burundi,2018,250.3
Cabo Verde,2018,0.014
Cambodia,2018,23.69
Cameroon,2018,247
Central African Republic,2018,347.3
Chad,2018,164.8
China,2018,0
Colombia,2018,8.5
Comoros,2018,18.76
Congo,2018,235.1
Costa Rica,2018,0.04
Côte d’Ivoire,2018,330.6
Democratic People's Republic of Korea,2018,0.36
Democratic Republic of the Congo,2018,319.8
Djibouti,2018,35.21
Dominican Republic,2018,0.12
Ecuador,2018,3.32
Egypt,2018,0
El Salvador,2018,0
Equatorial Guinea,2018,269
Eritrea,2018,28.88
Eswatini,2018,0.84
Ethiopia,2018,31.81
Gabon,2018,248.2
Gambia,2018,66
Georgia,2018,0
Ghana,2018,224.3
Guatemala,2018,0.27
Guinea,2018,283.9
Guinea-Bissau,2018,123.3
Guyana,2018,44.37
Haiti,2018,1.61
Honduras,2018,0.13
India,2018,5.33
Indonesia,2018,3.87
Iran (Islamic Republic of),2018,0
Iraq,2018,0
Kazakhstan,2018,0
Kenya,2018,70.1
Kyrgyzstan,2018,0
Lao People's Democratic Republic,2018,4.2
Liberia,2018,361.5
Madagascar,2018,82.4
Malawi,2018,213.6
Malaysia,2018,0
Mali,2018,386.8
Mauritania,2018,39.41
Mexico,2018,0.3
Morocco,2018,0
Mozambique,2018,305.4
Myanmar,2018,3.4
Namibia,2018,26.71
Nepal,2018,0.44
Nicaragua,2018,7.14
Niger,2018,356.6
Nigeria,2018,291.9
Oman,2018,0
Pakistan,2018,3.38
Panama,2018,0.19
Papua New Guinea,2018,184.5
Paraguay,2018,0
Peru,2018,4.65
Philippines,2018,0.18
Republic of Korea,2018,0.14
Rwanda,2018,486.5
Sao Tome and Principe,2018,13.92
Saudi Arabia,2018,0.023
Senegal,2018,55.75
Sierra Leone,2018,320.4
Solomon Islands,2018,133.6
Somalia,2018,34.27
South Africa,2018,1.65
South Sudan,2018,235.9
Sri Lanka,2018,0
Sudan,2018,46.75
Suriname,2018,0.34
Syrian Arab Republic,2018,0
Tajikistan,2018,0
Thailand,2018,0.36
Timor-Leste,2018,0
Togo,2018,267.3
Turkey,2018,0
Turkmenistan,2018,0
Uganda,2018,289.2
United Arab Emirates,2018,0
United Republic of Tanzania,2018,124.3
Uzbekistan,2018,0
Vanuatu,2018,3.99
Venezuela (Bolivarian Republic of),2018,32.68
Viet Nam,2018,0.082
Yemen,2018,45.84
Zambia,2018,156.7
Zimbabwe,2018,51
